x	y	cluster	word
-19.60915756225586	26.132265090942383	1	?
-13.84508991241455	-10.370984077453613	2	'
-10.126429557800293	31.51303482055664	10	his
-13.989165306091309	-23.574642181396484	4	[
-17.976022720336914	26.748998641967773	1	great
9.68304443359375	-9.170663833618164	4	views
7.763129711151123	12.191424369812012	5	game
-9.160184860229492	31.292118072509766	10	man
-12.255706787109375	30.25746726989746	10	against
-12.443861961364746	-15.513673782348633	2	Of
-6.227531909942627	17.227807998657227	5	team
20.365175247192383	32.197078704833984	3	God
-23.538686752319336	-15.759135246276855	2	From
-0.9506898522377014	30.182085037231445	1	power
-1.5115190744400024	-5.140266418457031	8	United
-33.519344329833984	2.5038375854492188	7	John
32.47115707397461	-9.111573219299316	4	£
-2.078848361968994	19.390256881713867	4	points
10.520848274230957	11.303614616394043	5	games
14.276798248291016	-27.8104190826416	0	Internet
-22.516637802124023	-14.353302001953125	2	Great
-13.82653522491455	1.2620593309402466	3	His
36.263694763183594	-16.806682586669922	0	Windows
19.674299240112305	-12.843037605285645	4	Re
29.774959564208984	-7.823774814605713	4	OF
-2.2125656604766846	-15.210931777954102	4	C
-34.789730072021484	2.664458751678467	7	David
0.6405519247055054	-4.592752933502197	8	San
10.286252975463867	-29.175819396972656	0	Google
-12.708972930908203	28.4921875	10	guys
-11.979175567626953	29.278974533081055	10	guy
-15.409701347351074	-4.296535015106201	7	Mr.
-17.066669464111328	26.454818725585938	1	general
-13.558601379394531	-19.39651870727539	2	Part
19.913311004638672	15.018219947814941	1	security
-0.4777078926563263	-4.131142616271973	8	St.
-35.212215423583984	2.022390842437744	7	James
-10.41800308227539	-17.346420288085938	2	Green
5.782670021057129	13.115925788879395	5	players
-11.135697364807129	-18.638322830200195	9	General
-32.62294387817383	2.2043864727020264	7	Paul
-0.5324615836143494	-21.60987091064453	9	Power
5.5448150634765625	14.396921157836914	5	player
-16.09781265258789	27.0042724609375	1	according
-43.448036193847656	5.698465347290039	7	Michael
-10.57882022857666	21.26070785522461	1	build
5.164103984832764	28.777156829833984	10	war
10.241582870483398	-24.972705841064453	9	System
-3.5301802158355713	29.704816818237305	10	land
7.412062168121338	-3.6484384536743164	5	Game
-23.150724411010742	-16.124462127685547	2	Back
14.562285423278809	18.943510055541992	1	band
-9.983057022094727	21.676851272583008	1	built
-8.045854568481445	32.10770034790039	10	himself
-5.559589862823486	-14.003217697143555	2	II
-18.392436981201172	-11.919361114501953	2	King
-21.526050567626953	24.7891902923584	2	Will
14.253355979919434	-10.39885425567627	4	No.
33.11164474487305	-20.328327178955078	0	Software
-3.3173704147338867	-15.626906394958496	4	D
-18.766521453857422	-12.603972434997559	2	Man
9.000311851501465	-19.313806533813477	9	Series
-5.610244274139404	-6.792561054229736	2	War
18.41376304626465	-9.509920120239258	8	St
19.19986915588379	11.862544059753418	1	solution
-35.965023040771484	4.096646308898926	7	Mark
-31.73107147216797	-2.32446026802063	7	George
20.548006057739258	-14.86527156829834	9	Security
21.08705711364746	31.955814361572266	3	Jesus
34.88795471191406	-19.033449172973633	0	Microsoft
-1.182757019996643	21.592124938964844	1	pass
27.689559936523438	12.472487449645996	1	engine
6.925798416137695	-1.4022678136825562	5	Sports
-1.7744131088256836	-4.63370943069458	8	England
3.5928921699523926	16.054101943969727	5	fans
-11.666412353515625	24.398197174072266	1	charge
-33.582584381103516	-0.28987929224967957	7	Robert
-25.268234252929688	-9.76483154296875	7	Brown
