,caucasian_effect_size,caucasian_p_value
Tackling,-0.361350085547472,0.6941048759188513
completions,0.6977924776745087,0.16891392215349876
Londoners,0.4390608355816664,0.2697772752198768
Expressing,0.524869216576354,0.23338198593183623
ItemId,0.10212769724079568,0.43937816899742144
Telekom,0.027854513820360798,0.4852186385732218
NATIVE,0.26057137446845097,0.36030217261006015
Harpers,-0.04638254297626167,0.5252861753427036
above-average,0.772772239127114,0.14029379947336684
cellophane,-0.7316973247940785,0.8535511356316858
Portability,-0.23413626004871996,0.6358122869771814
Banderas,0.667955720827024,0.17639758892393742
plows,0.33644114178176854,0.31667866014469304
Macao,0.7706864513601694,0.13630211669257553
13:38,0.9384294184702981,0.09197025070473486
oso,0.40090511516227073,0.28977579710989065
U.K,0.5615188796678034,0.21833299590009814
Sustaining,0.5142195530481898,0.2341999058286901
Philo,-0.598459398975914,0.8006085168807522
well-educated,0.9230861132823078,0.09594183620282037
APG,0.021216820822442955,0.4923244036471289
RESCUE,0.24835616555486006,0.3578944925512907
dripped,-0.8593226873245636,0.8867930811111394
bemused,-0.4810217695877756,0.7529587909572335
Supercross,-0.6992994875976477,0.8411569167219042
SearchSearch,-0.09151939107505136,0.549058989160475
20:13,0.01817171106816395,0.48895378833556
Airmen,0.3411740519266307,0.3112838688540768
Itachi,0.06022214865207356,0.46179027628260705
In-reply-to,-0.2184094771114627,0.6226894542860919
Taryn,-0.6740069723810898,0.835934779973522
ceded,0.6560653662214947,0.17302738031746623
Belles,-0.08262130801555044,0.5452197754958847
Pandit,0.0643369539573631,0.4667139033306684
pullout,-0.029032051290013926,0.5178813492524261
FUNDS,-0.3263539563293444,0.6867652220594382
3W,0.42577940975027523,0.2746405447387834
outrun,-0.18699362118180554,0.5924264521728753
14:08,0.522016671584574,0.2278206726405997
underweight,-1.3038287511601083,0.9666080854147943
HKLM,-0.15280627964298907,0.579308642527426
Wim,0.5480132908943375,0.21721777821545762
backhoe,-1.0838687938948761,0.9388954488241286
OmInteraction,-0.33725656918900576,0.680217871771667
Kiln,0.6592122007717238,0.17120219850076568
barons,-1.1659293345901072,0.949979223337369
Montreux,0.26765521731049996,0.3520344715544743
1555,-0.26898176337106244,0.6527005356680248
Wahoo,0.0981943301013321,0.44255007373158917
Awwww,-0.5014444072731228,0.7633020910766873
gina,-0.5055837156633882,0.763710160711488
4-wheel,0.32512549861433154,0.3185559738720334
joinery,-0.9810939805315702,0.9134206604809803
Espanol,0.6142757197817963,0.19597902588205773
Puritans,1.2106631041272027,0.04281846574410131
EnglishFormat,-0.09918610253747566,0.5499048830115809
pico,-0.023190980041138693,0.5099053778080251
Música,-0.045530295885526866,0.5276738300200691
Powders,-0.11102169314983486,0.5637988927447996
Factoring,0.24648795095293327,0.36427321478427666
.0.2,-0.33223724334931526,0.6811667999783371
Abandon,-1.4681007108136241,0.9821637964623405
E-Learning,-0.37541965649092396,0.7005137808820271
protrusion,0.16033762945194382,0.4102282591080898
Roebuck,-1.1279036532708087,0.9456774545250818
hoopla,-0.7426190469592056,0.8544593772462017
Purely,-0.9236906896345025,0.9034217208206445
repositioning,0.22718250787085242,0.37673091383896884
14:58,0.31014953387438904,0.325997334758481
Octane,-0.9963473673422653,0.9213272877706495
methinks,0.19542228799613248,0.3876206273767332
Stalking,-0.6977635614794259,0.8354234556152232
hugh,0.13503682549944432,0.41826278463846556
sorghum,-0.49343729606834147,0.762324215074959
Contraception,-0.1304193693642081,0.5763659946855488
99.4,-0.271574768261662,0.6567008324818356
schoolboy,0.019676281288853653,0.4833417087699149
DISCO,-0.43785720879630435,0.730010028367008
Innes,-0.17430908263839437,0.602802012717733
blameless,-0.8340555199498062,0.8810952331202155
clays,0.6698059912202272,0.1711297442839057
ADI,-0.6318492183146819,0.812279324522576
write-off,-0.333380131162107,0.6826249937162626
ned,-0.06456001543458312,0.5347792217049379
hypertrophy,-1.0767951757415446,0.935130603995886
OPERATING,0.2390924536135936,0.3607874486414633
stipulates,1.2516114899396258,0.039160003907025454
t.co,0.27911748173350526,0.3468014566958326
matrimonial,1.2293739462462996,0.042732647910578625
upswing,0.6418479518065576,0.18009538484022536
PLL,-0.4848692358090052,0.757824999894104
fora,0.18610363947727906,0.39204355395655377
Nucleic,0.8034911240250292,0.12504670626358205
conferring,0.3827402383073939,0.29014028833582195
BellSouth,-0.2543111618233578,0.6383020620283624
ready-to-use,0.4052085167015828,0.2812058903391845
Poolside,1.0643546504781523,0.06767476779642267
Frampton,-0.921718412784838,0.9055419424013296
compatriots,1.4008818405195218,0.023824532725279512
12:1,0.8708989742674714,0.11059198416199334
14:41,-0.07288240716875029,0.541021144668745
ISIS,-0.11829200410869523,0.5646249210769192
bridegroom,-0.42256736411634527,0.7220357045016068
al.com,-0.20829502681510412,0.6191266289816214
