,caucasian_effect_size,caucasian_p_value
",",0.24677933545505262,0.36661982111195435
.,0.3702344643569392,0.2962334711158816
the,0.7394411490591751,0.15016765427546885
and,0.7214838406712673,0.15192917821326768
to,0.6051071011333383,0.19579350481325564
of,0.08927810627642419,0.4517279291601639
a,-0.08997211140101191,0.5507066796941785
in,0.06763470100144571,0.45989222978168853
"""""""""",0.48045067374370276,0.24649547894200807
:,0.0845950585540327,0.449125649190408
is,0.37961932646028257,0.29386437448301306
for,-0.09070086306661276,0.5522688632899541
I,-0.17855334074245766,0.5980517978936815
),0.12702067392266728,0.4278406953686523
(,-0.021541897221938673,0.5048685292245483
that,0.508123993850721,0.24098654205484438
-,0.4056387763454385,0.28178323976050723
on,-0.5101372767966456,0.7659628033235717
you,0.05266687990719368,0.472102572799173
with,0.5301977119393073,0.23128983916834744
's,0.38495820549644194,0.29350726244262226
it,-0.0161176877326566,0.507190203060641
The,0.7444706093298797,0.14692394950234133
are,0.039139403506888465,0.4803577266922404
by,0.4834106939552207,0.24064548795902263
at,-0.13322661086126386,0.5700481371970074
be,-0.27900597823348333,0.6565909092393724
this,0.2579956218303538,0.3567078482220709
as,-0.42914593790905,0.7286155981774974
from,0.6573068151684295,0.17729975399710052
was,0.8258511064810069,0.1167039288595535
have,0.2937096026560005,0.32937621520267724
or,0.4290167337474175,0.2728682246074243
...,-0.11061804513734685,0.5655389716465826
your,0.1513107022831906,0.4130945529246337
not,-0.6581188929924585,0.824910759308586
!,-0.13587874330337305,0.575566755348954
?,0.006159414295568593,0.4961311129904552
will,0.5880098453907201,0.2051462690731627
an,0.2792003585126392,0.34378871645460385
n't,-0.15114568235776288,0.5875567099331475
can,0.08217912747438634,0.45869751377092494
but,0.12001259243655721,0.4262570119936142
all,-0.45042350492849487,0.7414168009492439
my,0.6500108019593089,0.17289358100394647
has,0.4999712158557674,0.2415856691429511
|,0.48485640226138144,0.24990893614460785
do,0.032702111346092425,0.4783155656217787
we,0.6685259598828377,0.17490475933492355
they,0.8862243796150269,0.1046799453763898
more,-0.05700607582846244,0.5345438401169496
one,-0.24995193272968366,0.6362468309224667
about,0.6717033729439472,0.16961903118865163
he,0.18595211440790854,0.3958884120193744
;,0.17759658551816443,0.4033106308395146
',0.31477779783481535,0.3287400673733498
out,-0.3836517096349277,0.7041896413435448
$,-0.16192834603201597,0.5894188948776526
their,0.8978699677260301,0.10236491210124354
so,-0.025509236105685732,0.5131120560896729
his,0.5165422296438077,0.23290727133065692
up,-0.68057357517775,0.8331769888472923
It,0.11258440712648468,0.43865162850187
&,-0.1289301567627387,0.57351936930143
like,-0.4042464180501917,0.7130875019514353
/,0.47873693822895896,0.25337883558304486
1,-0.13982504376156965,0.578040590521154
which,1.1792930494419556,0.04793415643706056
if,-0.4247445340514663,0.7265545927546586
would,0.7768509005417252,0.13528154776467927
