,caucasian_effect_size,caucasian_p_value
Kita,0.1875881051791832,0.39671477784030396
Whitcomb,0.6379924365009823,0.18520393968935145
Acknowledgement,-0.005425408566381162,0.504577257309613
Constraint,-0.07099989174682556,0.5434591673907732
firefly,-1.2754920912525938,0.9639016182842814
chalky,-0.6398608874207897,0.8133123952751669
CARLOS,-0.2899639981353487,0.6566249514313376
hippocampal,-0.1314679772838533,0.5756442745377501
diz,-0.16202661728126203,0.5900877318188152
Minton,-0.12393420023668195,0.5699486262215299
Faculties,-0.452570293118583,0.7384340057131284
DBI,-1.2137924694794837,0.9572646836248604
ground-based,0.596728959677276,0.19653448443873767
co-chairs,0.6685117948082506,0.17287340180694477
accoutrements,0.04705218854408127,0.4706863505516692
fashionably,0.28742245641879444,0.343645702513791
63.00,-0.4128661988086893,0.7164065270715138
1174,-0.41151084267104115,0.7167190802386962
Mackerel,-0.22313947537666398,0.6262110037862652
Chattahoochee,0.10389175415056101,0.43657743486414513
CUZ,0.5930833750283054,0.2061087970008999
Chillout,0.6342560934491129,0.1832337954944918
Photographing,-0.4941504786081344,0.7588882863382604
1910-1920.,-0.4470068340576346,0.7358384324997649
foresaw,0.1303785913283754,0.4235883143574024
kebabs,0.4194012737246423,0.28534353220800157
jugular,0.41697446122603243,0.2776356547762475
dreadlocks,-0.3375666470656396,0.6855942905340704
Retained,0.05638151209693588,0.4741118194133791
Ponytail,-0.05885979734198416,0.5329520957024758
guile,0.46175840971851145,0.2535444412907212
Cinta,-0.2034242185191534,0.6092036330670149
1557,-0.17137247820949753,0.5999459843245483
ZOMBIE,-0.927332618526447,0.9070663448066886
Airlie,0.12112476098533764,0.4364001882708767
styler,0.17639174435135171,0.39750875789914064
oxygenation,-0.12923137444596164,0.5826260254266007
Sammi,-1.21813130242378,0.9579831415843367
MRA,-0.8542764531245417,0.8875640261665442
insincere,-1.014531678302272,0.9249092574748385
nines,-0.47587219773820233,0.75247298909663
All-New,-1.0349603795217464,0.9313362541840069
Azarenka,-0.08832584728473618,0.5468988741427361
Rosberg,0.4926894217658746,0.24586343846341485
.5.1,-0.40516488898168806,0.7150754044977666
Ojibwe,0.16387582989910282,0.40672769122817165
take-away,0.6010250739923556,0.19114692295803004
Accurately,-0.21781758368397772,0.6202560998628233
forethought,0.1030770193336903,0.4427274234939592
bedspread,0.7089957331325636,0.15846432697690127
low-quality,-0.24878958596993375,0.6454723767375925
Multi-Color,-0.33509194521304037,0.6790902719074179
00:39,-0.42681335106630397,0.7215827797700473
Broadbent,0.2247241240801262,0.36823188039865473
autoplay,-0.23823438703352215,0.6298132242905483
Pinup,-0.16035245331873266,0.5932381395564876
airbrushed,-0.31973207715039637,0.6655811249854688
angiotensin,0.4753223796547407,0.25341451088524347
heart-wrenching,-0.7916517010981063,0.863370166003748
FileFixation,0.42659908651958034,0.27222646147482854
Miroslav,0.45820858292762,0.2632094801237831
Flawed,-0.43341652381243717,0.7326403714079
evolutionists,1.0370620617916075,0.06936401402524461
Boathouse,0.9911128816943466,0.07895260627797773
withing,0.7742200225283374,0.13269820388904507
roundly,-1.1623783425875192,0.9518046591040302
MARBLE,-0.5727136213546047,0.7882797604929853
scrawled,-0.3783689312591351,0.7045278627138751
Mosher,-0.6331988998008294,0.823748634461708
12in,-0.20048659541528208,0.6065504443665692
cardiologists,0.9767073157080078,0.08299888111745535
PMIn,0.16229049276193502,0.4069894796493212
hahahahahaha,-0.3950512735902281,0.7175580211536197
1368,-0.5955972673328588,0.7963494580714228
parfum,-0.8166621120912548,0.8760998884127484
transcending,-0.14833356980213622,0.5778355219672443
Greco-Roman,0.7012515747106304,0.16358849752520044
1680x1050,-0.6603436132395826,0.8229922966867074
incubators,0.6074960790290889,0.19440584574776443
Hadron,-0.6566643278522278,0.8239079835296976
theism,0.6324557349561403,0.18774839271700983
Negev,-0.357771475863483,0.6947004615282293
Pankaj,-0.3703560590724249,0.6948411474641621
croquet,0.37036300980776277,0.29629309227785217
restaurateur,0.7253542517425794,0.15295827275462615
furthered,-0.002302489770376087,0.5040455270537774
haggling,-0.3444101972886178,0.6891650238474863
bonita,0.09221681611547954,0.4438921696605367
Twenty-four,-0.26358889056319673,0.6459876506738045
Lariat,-0.03868542412783734,0.5226897246579858
Definite,-0.30438937757935713,0.668400007056854
Estimeted,0.42267541341276665,0.270708345138976
genome-wide,0.32953466411546783,0.3233131639272515
francais,0.8497051772412649,0.11634607359660509
LISTENING,-0.14019555304371656,0.5746949086877139
belay,-0.4693975175222722,0.7441988830106143
botnet,-1.0212886692387808,0.9250631020194666
masterwork,-0.38606222521772704,0.7079326569773898
xvi,-0.95032519357478,0.9083955677987974
sangria,-0.3371524415792305,0.6846429068940851
APPOINTMENT,-0.2800126827651837,0.6618972264351365
cachet,0.25068427676421895,0.3608495145302433
kar,-0.6185330315392459,0.8133886920316316
rearrangement,-0.4171771579030914,0.7229088628028926
Zildjian,0.8282097484152088,0.12340233542888779
4.03,0.208368598937655,0.3824295310785233
doppler,-0.20567401091389995,0.6045384341016746
knockers,-0.46565854830473175,0.7421534178757176
Variability,0.5341912887994359,0.22486252804353846
Vegetarians,0.6567972051772656,0.17581939858709228
Hamlets,0.22659702350752914,0.3800359480792037
Comercial,-0.016705790296817697,0.5088188146771706
Repetitive,-0.15570399770876855,0.5923147370358204
beacuse,0.19192708538768366,0.39453759040415104
thankless,-0.7277818831526403,0.8522878499500506
Aliases,-0.5494554452398049,0.7774841823912646
anita,-1.0444033829889992,0.9269050049206683
stooges,0.29961763698217353,0.34130138045943836
despises,-0.5251199885584612,0.775723732584733
PSB,-0.7794072958272392,0.8656803998088906
Powerstroke,-0.27197546729902106,0.6509770195865958
theists,1.1314099530059776,0.055648873197874815
Chron,-0.4760153458616746,0.7509102162862783
expelling,0.18845258660313885,0.3954726578034785
heuristics,0.7909183623243612,0.1355394774008798
ActiveSync,-1.4140281072921785,0.9782790616915273
Configurable,0.9776708475261767,0.08257981343003118
Midterm,-0.04043250994345271,0.5251971376626499
Red/Black,-0.9671506509854728,0.9161010712185629
hampering,-0.7379731751582947,0.8490610352920398
grasshoppers,-0.32566136819715813,0.6782266822873564
jong,-0.38399159843124464,0.710601725365708
WebKit,0.07062362583416965,0.46154867499480157
old-world,0.8584158423746371,0.11134281735073603
DWP,0.3195288802933175,0.32607120505868337
M83,-1.0809081828367346,0.9379978619780766
capsicum,0.692254954102261,0.168368823237125
handrail,0.13099854992878132,0.4323132312424042
Libyans,0.4088234820090347,0.28672179045684043
wpe,0.5958133188314647,0.20416663475136154
SEVERE,-0.3979985793789569,0.714135493646072
Beechwood,0.35342156029095306,0.30460586468685835
Rossetti,-0.06927803033887904,0.5347961024378394
loaner,0.1494781266047159,0.41441750931936006
Muang,-0.49422043814921557,0.7512500576457142
game-winner,0.5377472086670647,0.22738538835858435
Tangible,-0.23395316541789718,0.6301214984216486
Sanofi,-1.3038886667054754,0.9668181410905178
Bligh,-0.08939485942942449,0.5435611077461173
Franchisee,0.13234998369056294,0.42605711599735396
flickered,-0.5561591436511102,0.7775811619452582
effeminate,0.42513099528961157,0.27828310837824444
thunderbolt,-0.6327649951422752,0.8171920112848119
en-US,0.6402073556437485,0.18241218945684978
Harajuku,0.03933953775163335,0.4786159637847829
s/w,0.29200701382892047,0.3390402021662289
carmel,-0.022031459480439136,0.5198865185048074
Fitment,0.21237852115578734,0.3824197941514561
GTP,-0.44460472039615295,0.7300644484303604
Emigration,0.332260459742882,0.32012951094766084
Cel,0.08432206854829497,0.45336624233986944
Willson,0.6666277881952474,0.17387583565251186
Surefire,-0.45843905769563464,0.7481479462118623
high-def,-0.7317673762535536,0.8496236760240026
Hydrangea,-0.5761457978316324,0.7914175204118092
nontoxic,-0.09569187789401744,0.5502918542202666
Sou,-0.5812827247400226,0.7973647998882254
26.3,-0.2025629215947085,0.6132337902017071
HIMSELF,-0.4028956049253959,0.7116933952231692
LRC,-0.47627427054866417,0.7499042473182639
relishes,0.8439664412842315,0.11337170550101106
cloaks,-0.3030799685360844,0.6652739062709491
C-section,0.07628115648688812,0.45719917130932464
Hannon,-1.0373115810239844,0.9284141257804938
nvr,0.1547493642297763,0.41276958974336253
155.00,-0.03837673922661706,0.5270709324225875
transpose,-0.038748372072950614,0.5167642920718138
Concentrations,0.20136548313732944,0.3832316469914332
Vaults,0.03794499918109716,0.47481996412195293
messi,-0.24664527310408385,0.6324881462964764
secede,0.044383505353905,0.48143013030488935
Commenthttp,-0.5209293615012853,0.766782498740368
hand-to-hand,0.08788894660014049,0.45489733099926044
Anti-Semitism,-0.0493139713145019,0.5214753221132156
RANK,-0.7319515364449881,0.8500768595370822
alts,0.3897639060357534,0.290992181550894
Withholding,-0.0833106576955928,0.5438285635673705
Kraken,-0.49664815646659094,0.7541715466772069
Mancha,-0.5948078069006187,0.8020748584215511
them.The,-0.25940441218755633,0.6390768656348383
WORLDS,0.24238080295738496,0.37088339851046737
